Date,気温(℃),降水量(mm),日射量(MJ/㎡),風速(m/s),湿度(％),雲量(10分比)
1991-01-07,6.757142857142857,1.0714285714285714,52.42857142857143,6.942857142857143,3.7714285714285714,2.585714285714286
1991-01-14,6.3,0.7857142857142857,49.714285714285715,9.085714285714285,3.6999999999999997,3.5714285714285716
1991-01-21,6.314285714285715,5.214285714285714,49.142857142857146,9.200000000000001,3.0285714285714285,3.471428571428571
1991-01-28,6.042857142857143,0.7857142857142857,45.142857142857146,10.357142857142858,3.9857142857142853,4.685714285714285
1991-02-04,5.928571428571429,0.0,38.0,11.9,2.914285714285714,3.5285714285714285
1991-02-11,6.371428571428572,0.7142857142857143,51.285714285714285,10.885714285714286,4.6571428571428575,3.4857142857142853
1991-02-18,7.6571428571428575,9.142857142857142,49.857142857142854,11.014285714285714,6.785714285714286,4.442857142857142
1991-02-25,4.6571428571428575,0.0,38.285714285714285,14.62857142857143,2.3857142857142857,3.7857142857142856
1991-03-04,8.128571428571428,0.5714285714285714,46.857142857142854,11.671428571428573,5.328571428571428,3.7142857142857144
1991-03-11,9.457142857142857,4.642857142857143,60.42857142857143,9.857142857142858,6.614285714285714,3.471428571428571
1991-03-18,7.3,1.5,59.285714285714285,10.742857142857144,6.942857142857143,3.3714285714285714
1991-03-25,12.142857142857142,11.0,67.71428571428571,9.585714285714287,6.185714285714285,3.6142857142857143
1991-04-01,10.114285714285714,5.714285714285714,75.71428571428571,6.442857142857143,9.042857142857143,3.457142857142857
1991-04-08,11.814285714285715,9.142857142857142,69.0,13.014285714285714,5.014285714285714,3.5285714285714285
1991-04-15,16.52857142857143,0.6428571428571429,71.71428571428571,10.157142857142857,7.985714285714287,2.6714285714285713
1991-04-22,17.271428571428572,0.0,50.42857142857143,18.7,6.171428571428572,4.128571428571428
1991-04-29,16.82857142857143,5.071428571428571,66.85714285714286,13.585714285714287,8.971428571428572,3.442857142857143
1991-05-06,15.12857142857143,1.2142857142857142,45.42857142857143,22.585714285714285,4.371428571428572,4.271428571428571
1991-05-13,19.12857142857143,2.857142857142857,67.57142857142857,15.385714285714286,7.2,3.3000000000000003
1991-05-20,20.657142857142855,2.0,61.57142857142857,15.971428571428573,6.257142857142857,3.1999999999999997
1991-05-27,20.82857142857143,1.9285714285714286,72.42857142857143,16.571428571428573,7.171428571428572,3.7571428571428567
1991-06-03,18.37142857142857,4.857142857142857,74.0,12.671428571428573,7.8999999999999995,3.1285714285714286
1991-06-10,22.771428571428572,0.0,63.714285714285715,20.228571428571428,7.1571428571428575,3.5714285714285716
1991-06-17,25.142857142857142,3.5714285714285716,68.28571428571429,16.242857142857144,7.128571428571429,3.5142857142857147
1991-06-24,21.885714285714283,13.071428571428571,82.14285714285714,5.485714285714286,10.0,2.685714285714286
1991-07-01,26.900000000000002,1.2142857142857142,71.57142857142857,15.257142857142856,7.728571428571429,2.585714285714286
1991-07-08,24.82857142857143,6.857142857142857,72.28571428571429,14.414285714285715,8.385714285714286,3.2285714285714286
1991-07-15,24.75714285714286,0.9285714285714286,71.14285714285714,10.042857142857143,9.685714285714285,2.7857142857142856
1991-07-22,26.385714285714283,2.0,72.85714285714286,12.357142857142858,8.871428571428572,2.9
1991-07-29,29.942857142857143,0.0,62.42857142857143,17.214285714285715,7.171428571428572,2.8285714285714287
1991-08-05,28.014285714285712,3.0,66.28571428571429,15.685714285714285,8.185714285714285,3.242857142857143
1991-08-12,24.3,6.857142857142857,74.28571428571429,9.714285714285714,9.542857142857143,2.6
1991-08-19,24.357142857142858,4.428571428571429,73.42857142857143,16.62857142857143,6.257142857142857,3.6999999999999997
1991-08-26,26.185714285714287,14.214285714285714,74.85714285714286,14.857142857142858,7.771428571428572,3.2714285714285714
1991-09-02,26.32857142857143,5.5,68.14285714285714,14.185714285714285,6.914285714285714,3.5142857142857147
1991-09-09,27.485714285714288,14.5,76.0,11.328571428571427,5.371428571428572,3.3000000000000003
1991-09-16,23.142857142857142,11.642857142857142,81.28571428571429,5.585714285714286,8.914285714285715,3.1714285714285713
1991-09-23,21.228571428571428,34.285714285714285,82.42857142857143,6.428571428571429,9.085714285714285,3.085714285714286
1991-09-30,22.585714285714285,3.2142857142857144,68.85714285714286,8.214285714285714,8.685714285714285,3.3857142857142857
1991-10-07,20.685714285714287,23.928571428571427,79.42857142857143,7.414285714285714,7.7,3.4714285714285715
1991-10-14,18.0,34.142857142857146,83.28571428571429,2.957142857142857,9.285714285714286,5.428571428571429
1991-10-21,17.728571428571428,4.928571428571429,65.71428571428571,9.799999999999999,6.942857142857143,2.685714285714286
1991-10-28,16.7,13.142857142857142,73.71428571428571,6.1571428571428575,8.3,3.3428571428571425
1991-11-04,15.614285714285714,0.5714285714285714,65.0,7.242857142857143,7.042857142857143,2.7857142857142856
1991-11-11,14.042857142857143,6.428571428571429,61.285714285714285,9.157142857142857,5.085714285714286,3.2714285714285714
1991-11-18,12.742857142857144,0.0,57.285714285714285,8.385714285714286,5.542857142857143,2.942857142857143
1991-11-25,12.085714285714285,0.0,51.0,8.37142857142857,4.685714285714285,3.957142857142857
1991-12-02,12.057142857142859,9.285714285714286,63.57142857142857,6.285714285714286,6.557142857142857,3.042857142857143
1991-12-09,11.814285714285715,0.0,64.0,5.957142857142857,5.028571428571429,2.4714285714285715
1991-12-16,9.285714285714286,0.0,50.42857142857143,7.571428571428571,3.585714285714286,3.1571428571428575
1991-12-23,9.385714285714286,0.35714285714285715,53.714285714285715,7.214285714285714,5.585714285714286,3.2142857142857144
1991-12-30,5.885714285714286,4.785714285714286,68.42857142857143,4.3999999999999995,6.1000000000000005,3.342857142857143
1992-01-06,6.2,0.0,42.0,7.5,4.5,3.0
